Brand,Channel,Historical_Spend,Optimized_Spend,Historical_Revenue,Optimized_Revenue,Historical_Profit,Optimized_Profit,Hist_ROI_Revenue,Opt_ROI_Revenue,Hist_ROI_Profit,Opt_ROI_Profit,Hist_Revenue_Share,Opt_Revenue_Share
bb,m1_meta_bb_sp,496850.20999999996,474106.501666907,15275800.061299764,17629867.353981003,,,30.745282489263243,37.18545789183718,,,0.43919777215368855,0.33486803848391705
bb,m1_prog_bb_sp,83101.1757,180425.1610992756,7612464.452269181,19472919.851164438,,,91.60477439874752,107.92796155769994,,,0.21886758236028503,0.3698756401954147
bb,m1_search_bb_sp,324398.2146,392302.8486346755,11892877.44530761,15544421.031862002,,,36.6613529608113,39.62352321927044,,,0.3419346454860263,0.29525632132066826
bb,m3_offline_bb_sp,376302.3128037571,65360.71706786592,3.410522214139443e-19,1.435173387160059e-19,,,9.063250737759992e-25,2.195773626029649e-24,,,9.80566485761701e-27,2.726019926259316e-27
mac,m1_meta_mac_sp,781356.4400000001,144257.8647760689,9.35530993e-316,2.6768449e-316,,,1.196e-321,1.86e-321,,,1e-323,0.0
mac,m1_prog_mac_sp,215298.27010000002,39749.42439152015,1.3308820909370382e-258,8.185412323039497e-259,,,6.181573545941083e-264,2.059253045381385e-263,,,1.2560892276361594e-266,5.449361265855761e-267
mac,m1_search_mac_sp,561477.0075000001,1295783.045936225,86583237.22621936,124522401.82214884,,,154.2062026933834,96.09818727963007,,,0.8171743561230723,0.8289961781289615
mac,m1_social_mac_sp,515973.2685,520584.91245436773,7369211.839906645,8981572.221552206,,,14.282158184918925,17.25284772316465,,,0.06955077141175148,0.059793972299783074
mac,m3_offline_mac_sp,1095531.9762368617,925594.4948939359,12001973.729269821,16704682.048290864,,,10.955384223924204,18.047516639784096,,,0.11327487246517622,0.11120984957125546
tf,m1_meta_tf_sp,229645.46000000002,149234.09618920437,1.0985922751518023e-38,9.174703078211492e-39,,,4.783862372684407e-44,6.147859847376616e-44,,,2.539039128874894e-46,9.642938825371852e-47
tf,m1_prog_tf_sp,44746.5259,134239.57769988268,929566.7128281542,3465854.8375218417,,,20.774053272997318,25.8184277461778,,,0.021483914552777685,0.03642736543181655
tf,m1_search_tf_sp,116215.22499999999,348645.67499969515,42338465.77466697,91678408.1756545,,,364.31083599129954,262.9558166058841,,,0.9785160854472224,0.9635726345681835
tf,m1_social_tf_sp,372327.98,320453.1201890546,3.181768794518692e-24,3.071708840225379e-24,,,8.545607543431714e-30,9.58551702792968e-30,,,7.35362486250849e-32,3.228475099754553e-32
tf,m3_offline_tf_sp,38594.0,9262.55999999431,5.7846211965061706e-33,1.1671620559006265e-33,,,1.4988395078266493e-37,1.2600858249785627e-37,,,1.3369272564399553e-40,1.2267287789480156e-41
